検査日,2019/02/12
開始時刻,16:03:58,終了時刻,16:57:25
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],702.8
検査開始位置[mm],316.7,検査終了位置[mm],1019.5
列数,2
周長[mm],398.5,2逓倍,0
検査距離[m],4260.7
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,356
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
350,5,927.1,4235.5, 3.2,軽欠点,-,,
351,5,927.1,4235.9, 2.5,軽欠点,-,,
352,5,948.4,4236.3, 2.8,軽欠点,-,,
353,5,831.1,4236.7, 3.3,軽欠点,-,,
354,5,831.1,4237.1, 3.0,軽欠点,-,,
355,5,905.8,4237.5, 3.6,中欠点,-,,
356,5,831.1,4237.9, 3.8,重欠点,-,,
見当誤差件数,0
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2019/02/12,16:03:58,    0.3,検査開始,
2019/02/12,16:04:02,    9.1,検査中断,
2019/02/12,16:30:23,  123.4,検査範囲 変更,316.7,1019.5,380.0,0,2
2019/02/12,16:32:05,  246.5,検査開始,
2019/02/12,16:32:16,  265.5,検査中断,
2019/02/12,16:32:30,  292.9,検査開始,
2019/02/12,16:33:22,  413.3,検査中断,
2019/02/12,16:33:36,  450.3,検査開始,
2019/02/12,16:57:20, 4245.0,検査中断,
