検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
155,5,391.6,1443.8, 9.2,スジ欠点,-,,
156,5,391.6,1444.7,20.7,スジ欠点,-,,
157,3,626.2,1445.2, 4.8,スジ欠点,-,,
158,4,391.6,1445.6, 9.7,スジ欠点,-,,
159,5,391.6,1446.1,30.8,スジ欠点,-,,
160,5,380.9,1446.5,14.5,スジ欠点,-,,
161,4,391.6,1446.9, 3.5,スジ欠点,-,,
162,5,767.1,1447.4, 4.8,スジ欠点,-,,
163,4,391.6,1447.9, 8.4,スジ欠点,-,,
164,4,348.9,1448.3, 5.3,スジ欠点,-,,
165,2,604.9,1448.9, 3.5,スジ欠点,-,,
166,2,788.5,1449.9,10.6,スジ欠点,-,,
167,1,615.5,1450.3, 4.8,スジ欠点,-,,
168,1,626.2,1451.4, 4.0,スジ欠点,-,,
169,4,359.6,1451.6,15.0,スジ欠点,-,,
170,4,799.1,1452.1, 3.5,スジ欠点,-,,
171,4,370.2,1452.5,12.3,スジ欠点,-,,
172,2,359.6,1452.9, 3.5,スジ欠点,-,,
173,2,604.9,1453.9, 7.9,スジ欠点,-,,
174,3,380.9,1454.8, 5.7,スジ欠点,-,,
175,4,380.9,1455.3,16.7,スジ欠点,-,,
176,5,380.9,1455.7,18.5,スジ欠点,-,,
177,5,380.9,1456.2,29.9,スジ欠点,-,,
178,2,370.2,1456.6, 4.8,スジ欠点,-,,
179,5,380.9,1457.1, 7.9,スジ欠点,-,,
180,1,391.6,1457.6, 3.5,スジ欠点,-,,
